umur,min3sd,min2sd,min1sd,nolsd,plus1sd,plus2sd,plus3sd,jenis_kelamin,standard
12,66.56788255,69.39572754,72.19719691,74.94758156,77.48725467,79.75325854,81.95136383,Laki-laki,Lokal
13,67.44946274,70.38472524,73.29767386,76.18069264,78.8457611,81.20979415,83.50144371,Laki-laki,Lokal
14,68.40805413,71.40935208,74.39669184,77.3214315,80.04980072,82.53167167,84.93321627,Laki-laki,Lokal
15,69.53528803,72.54796666,75.49574888,78.36749102,81.12183044,83.73492707,86.25101776,Laki-laki,Lokal
16,71.01615625,73.84936406,76.53684066,79.31705366,82.11060834,84.84715945,87.46477334,Laki-laki,Lokal
17,72.47001428,75.02447069,77.46862911,80.22356937,83.07939001,85.89484212,88.58634802,Laki-laki,Lokal
18,73.07547968,75.70334131,78.31723621,81.1638672,84.06744516,86.89178555,89.62627805,Laki-laki,Lokal
19,73.01434069,76.08592555,79.12217606,82.12894842,85.05288221,87.83557429,90.59239076,Laki-laki,Lokal
20,73.2582501,76.58070748,79.86620893,83.01686504,85.96420633,88.71464034,91.49066476,Laki-laki,Lokal
21,73.97590884,77.24237257,80.56460268,83.75859154,86.74125327,89.52175158,92.32736027,Laki-laki,Lokal
22,75.00932701,78.1248288,81.29023813,84.38592382,87.39080606,90.26481821,93.11076198,Laki-laki,Lokal
23,76.37162001,79.22931247,82.05517398,84.98451941,87.98904247,90.96724943,93.85124364,Laki-laki,Lokal
24,77.66722439,80.26361574,82.81810391,85.64613114,88.63247401,91.65727487,94.55953112,Laki-laki,Lokal
25,78.19952039,80.89914274,83.58287554,86.43161539,89.37469602,92.35349084,95.24424246,Laki-laki,Lokal
26,78.39086968,81.39754266,84.38414568,87.31987636,90.19276774,93.05644776,95.9102402,Laki-laki,Lokal
27,78.96127715,82.09426418,85.23640794,88.21365947,91.00786496,93.7515103,96.55878587,Laki-laki,Lokal
28,80.05590647,83.10152822,86.11780984,89.01266014,91.74425972,94.42020117,97.18935046,Laki-laki,Lokal
29,81.53479239,84.31398113,86.93480515,89.6749956,92.37877117,95.05193454,97.80197264,Laki-laki,Lokal
30,82.6753012,85.20246699,87.57969672,90.23335393,92.94326086,95.64905635,98.39884465,Laki-laki,Lokal
31,82.91142802,85.50930578,88.0747823,90.76039499,93.48674268,96.2237937,98.98437071,Laki-laki,Lokal
32,82.89083571,85.7017224,88.55278597,91.30205846,94.037935,96.79106093,99.56383336,Laki-laki,Lokal
33,83.46295072,86.27538891,89.09720532,91.85614055,94.60011446,97.36225735,100.1414607,Laki-laki,Lokal
34,84.28019276,86.99623989,89.68425562,92.41265546,95.17025433,97.94256061,100.7188194,Laki-laki,Lokal
